matiere,theme,difficulte,modele,variante,enonce,solution,explication,longueur_enonce,longueur_explication,mots_enonce
Sciences de la Vie et de la Terre,Environnement et développement durable,examen,gemini-3.5-flash,C_complet,"Dans la commune de Sô-Ava, près du lac Nokoué au Bénin, les populations constatent une diminution rapide du nombre de poissons et l'apparition fréquente de maladies de peau chez les enfants qui s'y baignent. Les enquêtes révèlent le rejet direct des ordures ménagères, l'utilisation abusive d'engrais chimiques dans les cultures environnantes et l'usage de pesticides interdits pour la pêche.

En t'appuyant sur tes connaissances en SVT :
1. Identifie deux causes de la pollution du lac Nokoué citées dans le texte.
2. Explique comment l'utilisation des engrais chimiques entraîne la mort des poissons.
3. Propose deux solutions durables pour protéger ce lac et la santé des populations.","1. Les deux causes sont : le rejet direct des ordures ménagères dans le lac et l'utilisation abusive d'engrais chimiques.
2. Les engrais entraînent la prolifération des algues en surface, ce qui bloque la lumière et consomme tout l'oxygène lors de leur décomposition, provoquant l'asphyxie des poissons (eutrophisation).
3. Les deux solutions durables sont : utiliser des engrais organiques (compost) et installer un système de collecte et de gestion des ordures ménagères.","Bonjour mon champion ! C'est RépétIA, ton répétiteur de SVT. Ensemble, nous allons résoudre cet exercice pas à pas pour que tu brilles le jour du BEPC. C'est parti !

**Première étape : Identifier les causes de la pollution**

Pour réussir cette question, il suffit de bien lire le texte proposé. C'est un exercice de repérage très classique à l'examen. Le texte nous dit que les populations rejettent directement les ordures ménagères dans l'eau et utilisent abusivement des engrais chimiques. Nous choisissons donc ces deux causes simples.

**Deuxième étape : Expliquer la mort des poissons**

C'est une partie très importante de ton cours sur l'environnement. Comprenons le mécanisme comme une réaction en chaîne :
- D'abord, les engrais chimiques utilisés dans les champs sont entraînés par les eaux de pluie vers le lac Nokoué. Ces engrais contiennent des nutriments qui nourrissent les plantes.
- Ensuite, à cause de ces nutriments, les algues à la surface de l'eau vont se multiplier de façon excessive.
- Cette couche d'algues bloque la lumière du soleil. Les plantes du fond ne peuvent plus faire la photosynthèse et meurent.
- Enfin, les bactéries qui décomposent ces plantes et algues mortes vont consommer presque tout l'oxygène dissous dans l'eau. Privés d'oxygène, les poissons finissent par mourir d'asphyxie. C'est ce phénomène qu'on appelle **l'eutrophisation**.

**Troisième étape : Proposer des solutions durables**

Pour trouver des solutions, il faut simplement proposer des alternatives écologiques aux mauvaises pratiques :
- Au lieu d'utiliser des engrais chimiques, on peut encourager l'utilisation d'engrais organiques (comme le compost ou la fiente de volaille).
- Au lieu de jeter les ordures dans le lac, il faut organiser la gestion des déchets dans la commune avec des poubelles de tri et un système de recyclage.

Voilà ! Tu as vu, ce n'est pas si difficile quand on décompose le problème. Continue comme ça, tu es sur la bonne voie pour ton BEPC !",687,1980,107
Histoire-Géographie,"Relief, climat et végétation du Bénin",facile,gemini-3.5-flash,C_complet,"Bonjour mon champion ! Prêt à briller au BEPC ? Voici un petit exercice facile sur la géographie de notre pays :

La ville de Cotonou est située au Sud du Bénin. Quel est le type de climat qui caractérise cette région du Sud et quel type de végétation naturelle y correspond principalement ?",Le Sud du Bénin (Cotonou) est caractérisé par un **climat subéquatorial** (ou béninien) et une végétation de **forêt dense** (souvent dégradée en savane côtière).,"Allons-y pas à pas, mon ami, c'est très simple !

**Étape 1 : Situer la région**
Cotonou se trouve au Sud du Bénin, juste au bord de l'océan Atlantique. C'est la zone côtière.

**Étape 2 : Identifier le climat du Sud**
Au Bénin, le climat change du Sud vers le Nord. Dans le Sud, nous avons un climat particulier avec quatre saisons (deux saisons des pluies et deux saisons sèches). On appelle ce climat le **climat subéquatorial** ou **climat béninien**.

**Étape 3 : Associer la végétation au climat**
Comme il pleut beaucoup dans le Sud, la nature y fait pousser des arbres qui aiment l'eau. À l'origine, on y trouve donc de la **forêt dense humide**. Aujourd'hui, à cause des activités humaines, cette forêt est souvent modifiée (on parle de forêt dégradée) et on observe aussi des savanes côtières.

Tu es super capable ! Continue de t'entraîner ainsi et le BEPC sera dans la poche !",291,888,54
Français,Figures de style,facile,gemini-3.5-flash,A_minimal,Identifie la figure de style présente dans la phrase suivante : « Ce jeune joueur de football de Cotonou est rapide comme un zémidjan. »,La comparaison,"Bonjour mon champion ! C'est un excellent exercice pour s'entraîner. Allons-y pas à pas :

Étape 1 : Analysons le sens de la phrase. On cherche à montrer à quel point le jeune joueur de football court vite.

Étape 2 : Regardons comment cette idée est exprimée. On rapproche le joueur de football d'un « zémidjan » (notre célèbre taxi-moto qui va très vite dans nos rues).

Étape 3 : Repérons le mot de liaison. Pour lier le joueur au zémidjan, on utilise le mot « comme ».

Étape 4 : Concluons. Dès que tu as un comparé (le joueur), un comparant (le zémidjan) et un outil de comparaison bien visible (comme, tel que, semblable à), il s'agit d'une COMPARAISON.

Tu as vu ? C'est très simple ! Continue comme ça, le BEPC est à ta portée !",136,736,25
Français,Orthographe et accords,facile,gemini-flash-lite-latest,C_complet,"Choisis la bonne orthographe du participe passé dans cette phrase : ""Les mangues que maman a (acheté / achetées) sont mûres.""",achetées,"Étape 1 : On observe le participe passé du verbe acheter.
Étape 2 : On cherche le complément d'objet direct (COD), qui est le pronom ""que"" remplaçant ""les mangues"".
Étape 3 : On remarque que le COD (""que"") est placé **avant** le verbe.
Étape 4 : Selon la règle, le participe passé s'accorde en genre et en nombre avec le COD placé avant.
Étape 5 : ""Les mangues"" est un nom féminin pluriel, donc on ajoute un ""ées"" à la fin d'acheté. La bonne réponse est ""achetées"".",125,465,21
Anglais,Reading comprehension,facile,gemini-3.5-flash,A_minimal,"Lis le court texte ci-dessous et réponds à la question en anglais.

Texte :
Kofi is a young student from Djougou. During the holidays, he always helps his father on their yam farm. Kofi likes farming because it helps his family get food and money. Today, they are harvesting big yams.

Question : Why does Kofi like farming?",Kofi likes farming because it helps his family get food and money.,"Bonjour mon ami ! C'est RépétIA, ton répétiteur. Ensemble, nous allons réussir cet exercice très facilement ! Voici la méthode pas à pas :

Étape 1 : Comprendre la question.
La question commence par 'Why', qui signifie 'Pourquoi'. On nous demande donc de trouver une cause ou une raison. En anglais, la réponse commencera très souvent par 'because' (parce que).

Étape 2 : Repérer les mots-clés dans le texte.
Cherchons dans le texte les mots-clés de la question : 'Kofi', 'likes' et 'farming'.
En lisant attentivement, on repère cette phrase : 'Kofi likes farming because it helps his family get food and money.'

Étape 3 : Rédiger la réponse.
La raison est écrite juste après le mot 'because' : 'it helps his family get food and money' (cela aide sa famille à obtenir de la nourriture et de l'argent).
Pour faire une phrase complète et propre, on réécrit : 'Kofi likes farming because it helps his family get food and money.'

Félicitations ! Tu as trouvé la bonne réponse. Tu vois, avec de la méthode, l'anglais au BEPC c'est du gâteau !",324,1040,58
Histoire-Géographie,Activités économiques du Bénin,examen,gemini-3.5-flash,B_markdown,"Le coton est souvent qualifié d'or blanc au Bénin. Identifie les deux principales zones de production du coton au Bénin, puis explique deux problèmes majeurs auxquels cette culture est confrontée aujourd'hui.",Les deux principales zones de production sont le Nord (départements de l'Alibori et du Borgou) et le Centre (département des Collines). Deux problèmes majeurs sont les changements climatiques (irrégularité des pluies) et la fluctuation des cours mondiaux du coton.,"Bonjour mon ami ! C'est un excellent sujet pour t'entraîner au BEPC. Abordons cela ensemble, étape par étape, comme un vrai champion.

**Étape 1 : Localiser la production sur notre carte du Bénin**
Pour commencer, rappelons-nous où pousse le coton. Le coton a besoin d'un climat spécifique, avec une bonne saison des pluies et une saison sèche bien marquée pour la récolte.
C'est pourquoi la plus grande partie de la production se concentre dans le **Nord du Bénin**, en particulier dans les départements de l'**Alibori** (autour de Banikoara, que l'on appelle souvent la capitale de l'or blanc !) et du **Borgou**.
Ensuite, la production s'étend vers le **Centre**, notamment dans le département des **Collines**.

**Étape 2 : Comprendre les difficultés de nos producteurs**
Maintenant, réfléchissons aux problèmes de cette culture. Imagine que tu es un producteur de coton. Qu'est-ce qui peut perturber ton travail ou tes revenus ?
Le premier problème majeur, ce sont les **changements climatiques**. Les pluies deviennent irrégulières : elles commencent parfois en retard ou s'arrêtent trop tôt, ce qui détruit les jeunes plants.
Le deuxième problème est lié à l'économie : la **fluctuation des cours mondiaux**. Le prix du coton est fixé sur le marché international. Si ce prix baisse à l'étranger, les revenus de nos paysans diminuent fortement, ce qui rend leur vie difficile.

Tu vois, en reliant la géographie à la réalité de nos campagnes, tout devient plus clair ! Continue tes efforts, tu es sur la bonne voie pour décrocher ton BEPC !",208,1546,31
Sciences de la Vie et de la Terre,Écosystèmes et chaînes alimentaires,moyen,gemini-flash-lite-latest,C_complet,"Dans un écosystème au bord du lac Nokoué, on observe les êtres vivants suivants : le plancton, le tilapia (poisson) et l'épervier (oiseau pêcheur). 1) Classe ces trois organismes selon leur rôle dans la chaîne alimentaire (producteur ou consommateur). 2) Construis la chaîne alimentaire logique qui les unit.",1) Plancton : producteur ; Tilapia : consommateur de 1er ordre ; Épervier : consommateur de 2nd ordre. 2) Plancton -> Tilapia -> Épervier.,"Étape 1 : Rappelle-toi qu'un producteur est toujours un végétal qui fabrique sa propre nourriture, ici c'est le plancton. 

Étape 2 : Les animaux qui se nourrissent de végétaux sont des consommateurs de premier ordre, c'est le cas du tilapia qui mange le plancton. 

Étape 3 : L'animal qui mange un autre animal est un consommateur de second ordre, c'est l'épervier qui mange le tilapia. 

Étape 4 : Pour former la chaîne alimentaire, on commence toujours par le producteur et on utilise des flèches qui signifient 'est mangé par'. Cela donne : plancton -> tilapia -> épervier. Bravo pour ton effort !",308,601,48
Histoire-Géographie,Le Bénin contemporain,moyen,gemini-3.5-flash,C_complet,"En février 1990, le Bénin a connu un tournant historique majeur avec la Conférence des Forces Vives de la Nation. Quel est le principal changement de régime politique décidé lors de cette conférence et qui a été désigné comme Premier ministre pour diriger la transition ?",Le passage du parti unique (régime militaro-marxiste) au multipartisme (démocratie) et la désignation de Nicéphore Soglo comme Premier ministre de transition.,"Bonjour mon champion ! Prenons le temps de comprendre cet événement clé de notre histoire nationale, étape par étape.

**Étape 1 : Comprendre la situation de départ**
Avant 1990, le Bénin (alors appelé République Populaire du Bénin) traversait une grave crise économique et politique. Le pays était dirigé par un parti unique sous le régime militaro-marxiste du président Mathieu Kérékou. C'était une période où les libertés étaient très limitées.

**Étape 2 : Le grand changement politique**
Pour sortir de cette crise, les Béninois se sont réunis à l'Hôtel PLM Alédjo de Cotonou en février 1990. C'est ce qu'on appelle la Conférence des Forces Vives de la Nation. La décision historique majeure a été d'abandonner le parti unique pour adopter la **démocratie** et le **multipartisme**. Cela signifie que plusieurs partis politiques pouvaient désormais exister et s'exprimer librement, comme dans une grande discussion sous l'arbre à palabres où tout le monde a le droit de donner son avis.

**Étape 3 : Le choix du guide de la transition**
Pour conduire le pays en douceur vers cette nouvelle ère démocratique, il fallait un chef de gouvernement de transition. Les délégués de la conférence ont choisi **Nicéphore Dieudonné Soglo**, un économiste expérimenté, pour occuper le poste de Premier ministre de transition.

Voilà ! Tu as maintenant toutes les clés pour comprendre ce grand moment du Bénin contemporain. Continue tes efforts, tu es sur la bonne voie pour réussir ton BEPC !",271,1485,46
Physique-Chimie-Technologie,Travail et énergie,examen,gemini-flash-lite-latest,B_markdown,Un seau d'eau de masse m = 5 kg est tiré du fond d'un puits de profondeur h = 10 m à vitesse constante. On donne l'intensité de la pesanteur g = 10 N/kg. Calcule le travail du poids de ce seau pendant cette remontée.,Le travail du poids est W(P) = -500 Joules.,"Bonjour ! Pour résoudre cet exercice, allons-y **pas à pas**. D'abord, rappelons la formule du travail d'une force constante : le travail du poids W(P) d'un objet de masse m déplacé verticalement d'une hauteur h est donné par la formule W(P) = m × g × (z_initial - z_final). Ici, le seau monte du fond du puits vers le haut, ce qui signifie que le point d'arrivée est plus haut que le point de départ. Le déplacement est donc de bas en haut, alors que la force de pesanteur (le poids) tire toujours vers le bas. C'est pour cela que le travail du poids est **résistant**, donc négatif. Faisons l'application numérique : m = 5 kg, g = 10 N/kg et h = 10 m. On a W(P) = - m × g × h = - 5 × 10 × 10. En calculant, on trouve -500. N'oublie pas l'unité : le travail s'exprime en **Joules (J)**. C'est très bien, tu vois qu'en suivant la méthode, c'est facile !",216,853,45
Anglais,Direct and reported speech,examen,gemini-3.5-flash,A_minimal,"Rewrite the following sentence into reported speech:
Bio said to his sister, ""I will revise my English lessons tonight.""
Begin with: Bio told his sister that...",Bio told his sister that he would revise his English lessons that night.,"Bonjour mon ami(e) ! Prêt(e) pour décrocher ton BEPC ? Ensemble, analysons cette phrase étape par étape pour réussir la transformation au style indirect (Reported speech).

Étape 1 : Les pronoms personnels et possessifs.
Dans la phrase d'origine, Bio dit ""I"" (je) et ""my"" (mes). Comme nous rapportons les paroles de Bio (un garçon), ""I"" devient ""he"" (il) et ""my"" devient ""his"" (ses).

Étape 2 : La concordance des temps (Tense backshift).
Le verbe introducteur ""said to"" (qui devient ""told"" ici) est au passé. Nous devons donc changer le temps du verbe à l'intérieur des guillemets. Le futur ""will revise"" recule d'un cran et devient ""would revise"".

Étape 3 : Les indicateurs de temps.
Le mot ""tonight"" (ce soir) fait référence au moment présent de la parole. Au style indirect, il se transforme toujours en ""that night"" (ce soir-là).

En assemblant toutes les pièces de notre puzzle, nous obtenons : ""Bio told his sister that he would revise his English lessons that night.""

Tu vois, ce n'est pas si sorcier avec un peu de méthode ! Continue comme ça, tu es sur la bonne voie pour le BEPC !",160,1093,26
Histoire-Géographie,"Relief, climat et végétation du Bénin",examen,gemini-flash-lite-latest,C_complet,"Au cours d'une excursion géographique dans le nord du Bénin, un élève de troisième observe une zone caractérisée par un relief de plateaux aplanis sur socle cristallin, un climat tropical soudanien avec une seule saison des pluies et une seule saison sèche, ainsi qu'une végétation de savane boisée. Nomme la principale unité géomorphologique (relief) observée par cet élève dans cette région.",La chaîne de l'Atacora (ou les plateaux granitiques du nord),"Pour trouver la réponse, procédons étape par étape selon le programme béninois. Premièrement, identifions la zone géographique : le nord du Bénin. Deuxièmement, rappelons les grands types de relief du Bénin : les plaines et basses vallées au sud, les plateaux au centre, et les montagnes et plateaux du nord dont le sommet le plus culminant est le mont Sokbaro. Troisièmement, le texte mentionne des plateaux sur socle et le climat soudanien typique du nord-ouest et du nord béninois, dominé par le système montagneux et les plateaux de l'Atacora. La réponse exacte attendue au BEPC pour cette grande unité de relief du Nord est donc la chaîne de l'Atacora.",393,657,61
Français,Figures de style,moyen,gemini-flash-lite-latest,B_markdown,"Identifie la figure de style employée dans cette phrase extraite d'une composition française : ""Le feu du soleil brûlait les toits de tôle de Cotonou.""",Une métaphore.,"Première étape : repérons les mots clés de la phrase. On compare ""le soleil"" à un ""feu"" sans utiliser de mot de comparaison comme ""comme"" ou ""ainsi que"". Deuxième étape : puisque le comparant (le feu) et le comparé (le soleil) sont directement reliés sans outil grammatical, il s'agit d'une métaphore. C'est une image forte qui montre l'intensité de la chaleur chez nous à Cotonou.",151,381,25
Sciences de la Vie et de la Terre,Environnement et développement durable,facile,gemini-flash-lite-latest,A_minimal,"Au quartier Dantokpa, les sachets plastiques jetés partout dans les rues polluent notre cadre de vie et bouchent les caniveaux, provoquant des inondations lors des pluies. Propose deux (02) actions simples et concrètes qu'un élève de 3ème peut mener pour lutter contre cette pollution plastique au quotidien.","1. Utiliser un panier ou un sac réutilisable (comme le sac en raphia ou le grand sac en tissu) pour faire les courses au marché au lieu de demander des sachets plastiques.
2. Sensibiliser les camarades et les voisins sur les dangers des sachets plastiques et participer aux journées de salubrité de l'école.","Étape 1 : Bien comprendre le problème posé. Le texte parle de la pollution par les sachets plastiques à Dantokpa qui cause des inondations. On te demande des solutions à ton niveau d'élève.

Étape 2 : Chercher des gestes de prévention. Pour réduire les déchets plastiques, il faut éviter d'en utiliser. C'est pour cela que l'utilisation d'un sac réutilisable (panier) est une excellente solution.

Étape 3 : Chercher des gestes de sensibilisation et d'action collective. En tant qu'élève, tu as un rôle de sensibilisation auprès de ton entourage (camarades, famille) et tu peux participer aux actions de nettoyage (salubrité) pour garder l'environnement propre et sain.",308,669,47
